tradeId,marketId,question,action,entryPrice,size,confidence,expectedReturn,riskScore,timestamp,resolved,actualOutcome,exitPrice,pnl
FARTCOIN-USD-1768332908667-S2,FARTCOIN-USD,"FARTCOIN-USD LONG @ $0.393",buy,0.39321,0.1,0.72,2.2,0.4,1768332908667,true,,0.38849148,-0.024000000000000018
MON-USD-1768332911287-S2,MON-USD,"MON-USD LONG @ $0.027",buy,0.026617,0.1,0.72,2.2,0.4,1768332911287,true,,0.026297596,-0.023999999999999914
ZEC-USD-1768333246241-S1,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.15,0.82,2.8,0.4,1768333246241,true,,427.04324,-0.04799999999999993
ZEC-USD-1768333265213-S2,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.146,0.82,2.5,0.4,1768333265213,true,,425.74655,-0.06000000000000004
HYPE-USD-1768333462626-S1,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.136,0.8023,1.05,0.19769999999999996,1768333462626,true,,25.902799999999996,-0.05999999999999938
HYPE-USD-1768333821022-S1,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.136,0.8023,1.05,0.19769999999999996,1768333821022,true,true,24.881999999999998,0.10000000000000027
HYPE-USD-1768333832978-S2,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.136,0.8023,1.05,0.19769999999999996,1768333832978,true,true,25.03142373173991,0.07657935239186361
HYPE-USD-1768333891377-S1,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.136,0.8023,1.05,0.19769999999999996,1768333891377,true,,25.902799999999996,-0.05999999999999938
HYPE-USD-1768333903329-S2,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.136,0.8023,1.05,0.19769999999999996,1768333903329,true,,25.902799999999996,-0.05999999999999938
HYPE-USD-1768334157716-S1,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.136,0.8023,1.05,0.19769999999999996,1768334157716,true,true,25.153020048601224,0.0575203685578018
HYPE-USD-1768334169688-S2,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.136,0.8023,1.05,0.19769999999999996,1768334169688,true,true,24.881999999999998,0.10000000000000027
HYPE-USD-1768334230728-S1,HYPE-USD,"HYPE-USD SHORT @ $25.52",sell,25.52,0.146,0.8181999999999999,1.08,0.18180000000000007,1768334230728,true,true,24.4992,0.1600000000000002
SUI-USD-1768334231772-S1,SUI-USD,"SUI-USD SHORT @ $1.773",sell,1.7726,0.122,0.7585999999999999,1.05,0.2414,1768334231772,true,true,1.7394586294390897,0.056089423266800637
ZEC-USD-1768334233350-S1,ZEC-USD,"ZEC-USD LONG @ $432.23",buy,432.23,0.136,0.7976000000000001,1.06,0.20239999999999994,1768334233350,true,true,445.1969,0.09000000000000005
PUMP-USD-1768334234381-S1,PUMP-USD,"PUMP-USD SHORT @ $0.002",sell,0.0021274,0.146,0.8204,1.08,0.17959999999999993,1768334234381,true,true,0.002042304,0.1600000000000004
